('h143.dat', ('FNGRDF13', '(-8.0, -7.7346938775510203)'))
('h143.dat', ('FNGRDF13', '(-7.7346938775510203, -7.4693877551020407)'))
('h143.dat', ('FNGRDF13', '(-7.4693877551020407, -7.204081632653061)'))
('h143.dat', ('FNGRDF13', '(-7.204081632653061, -6.9387755102040813)'))
('h143.dat', ('FNGRDF13', '(-6.9387755102040813, -6.6734693877551017)'))
('h143.dat', ('FNGRDF13', '(-6.6734693877551017, -6.408163265306122)'))
('h143.dat', ('FNGRDF13', '(-6.408163265306122, -6.1428571428571423)'))
('h143.dat', ('FNGRDF13', '(-6.1428571428571423, -5.8775510204081627)'))
('h143.dat', ('FNGRDF13', '(-5.8775510204081627, -5.612244897959183)'))
('h143.dat', ('FNGRDF13', '(-5.612244897959183, -5.3469387755102034)'))
('h143.dat', ('FNGRDF13', '(-5.3469387755102034, -5.0816326530612237)'))
('h143.dat', ('FNGRDF13', '(-5.0816326530612237, -4.8163265306122449)'))
('h143.dat', ('FNGRDF13', '(-4.8163265306122449, -4.5510204081632653)'))
('h143.dat', ('FNGRDF13', '(-4.5510204081632653, -4.2857142857142856)'))
('h143.dat', ('FNGRDF13', '(-4.2857142857142856, -4.0204081632653059)'))
('h143.dat', ('FNGRDF13', '(-4.0204081632653059, -3.7551020408163263)'))
('h143.dat', ('FNGRDF13', '(-3.7551020408163263, -3.4897959183673466)'))
('h143.dat', ('FNGRDF13', '(-3.4897959183673466, -3.2244897959183669)'))
('h143.dat', ('FNGRDF13', '(-3.2244897959183669, -2.9591836734693873)'))
('h143.dat', ('FNGRDF13', '(-2.9591836734693873, -2.6938775510204076)'))
('h143.dat', ('FNGRDF13', '(-2.6938775510204076, -2.4285714285714279)'))
('h143.dat', ('FNGRDF13', '(-2.4285714285714279, -2.1632653061224483)'))
('h143.dat', ('FNGRDF13', '(-2.1632653061224483, -1.8979591836734686)'))
('h143.dat', ('FNGRDF13', '(-1.8979591836734686, -1.6326530612244898)'))
('h143.dat', ('FNGRDF13', '(-1.6326530612244898, -1.3673469387755102)'))
('h143.dat', ('FNGRDF13', '(-1.3673469387755102, -1.1020408163265305)'))
('h143.dat', ('FNGRDF13', '(-0.83673469387755084, -0.57142857142857117)'))
('h143.dat', ('FNGRDF13', '(-0.57142857142857117, -0.30612244897959151)'))
('h143.dat', ('FNGRDF13', '(-0.30612244897959151, -0.040816326530611846)'))
('h143.dat', ('FNGRDF13', '(-0.040816326530611846, 0.22448979591836782)'))
('h143.dat', ('FNGRDF13', '(0.22448979591836782, 0.48979591836734748)'))
('h143.dat', ('FNGRDF13', '(0.48979591836734748, 0.75510204081632715)'))
('h143.dat', ('FNGRDF13', '(1.0204081632653068, 1.2857142857142865)'))
('h143.dat', ('FNGRDF13', '(1.2857142857142865, 1.5510204081632661)'))
('h143.dat', ('FNGRDF13', '(1.5510204081632661, 1.8163265306122458)'))
('h143.dat', ('FNGRDF13', '(2.0816326530612255, 2.3469387755102051)'))
('h143.dat', ('FNGRDF13', '(2.3469387755102051, 2.6122448979591848)'))
('h143.dat', ('FNGRDF13', '(2.6122448979591848, 2.8775510204081645)'))
('h143.dat', ('FNGRDF13', '(3.1428571428571441, 3.4081632653061238)'))
('h143.dat', ('FNGRDF13', '(3.4081632653061238, 3.6734693877551035)'))
('h143.dat', ('FNGRDF13', '(3.6734693877551035, 3.9387755102040831)'))
('h143.dat', ('FNGRDF13', '(4.2040816326530628, 4.4693877551020424)'))
('h143.dat', ('FNGRDF13', '(4.4693877551020424, 4.7346938775510203)'))
('h143.dat', ('FNGRDF13', '(4.7346938775510203, 5.0)'))
('h143.dat', ('RCHDIF13', '(-7.7346938775510203, -7.4693877551020407)'))
('h143.dat', ('RCHDIF13', '(-7.4693877551020407, -7.204081632653061)'))
('h143.dat', ('RCHDIF13', '(-7.204081632653061, -6.9387755102040813)'))
